id	name	team	position	country	league_key	league
952322	Brenden Aaronson	Leeds United	CAM,RW,ST,CM,LM,LW	USA	premier_league	Premier League
690223	Rodrigo Abascal	Vitoria de Guimaraes	CB	Uruguay	liga_portugal	Liga Portugal
1819480	Alp Abay	Antalyaspor	Defender	Turkiye	super_lig	Super Lig
1118906	Nelson Abbey	Rio Ave	CB,LB	England	liga_portugal	Liga Portugal
1296769	Zach Abbott	Nottingham Forest	CB,RB,CDM	England	premier_league	Premier League
956659	Himad Abdelli	Marseille	CDM,CAM,CM	Algeria	ligue_1	Ligue 1
1179331	Mohamed Abdelmonem	Nice	CB	Egypt	ligue_1	Ligue 1
566187	Ali Abdi	Nice	LB,LM,LWB	Tunisia	ligue_1	Ligue 1
1158933	Sabit Abdulai	Alverca	CM,CDM,CAM	Ghana	liga_portugal	Liga Portugal
1002617	Saud Abdulhamid	Lens	RWB,RB,RM	Saudi Arabia	ligue_1	Ligue 1
1439393	Ahmed Abdullahi	Sunderland	ST	Nigeria	premier_league	Premier League
1377639	Tay Abed	Levante	RW,ST,RM	Israel	la_liga	LaLiga
523380	Myenty Abena	Gaziantep FK	CB	Suriname	super_lig	Super Lig
413525	Laurent Abergel	Lorient	CDM,CM	France	ligue_1	Ligue 1
1665501	Ali Mevran Ablak	Gaziantep FK	RW	Turkiye	super_lig	Super Lig
1250492	Matthis Abline	Nantes	LW,ST,RW	France	ligue_1	Ligue 1
1060604	Abner	Lyon	LB,LWB,LW,CM,CDM	Brazil	ligue_1	Ligue 1
846761	Zakaria Aboukhlal	Torino	LM,LW	Morocco	serie_a	Serie A
956921	Abdelkabir Abqar	Getafe	CB	Morocco	la_liga	LaLiga
749661	Tammy Abraham	Aston Villa	ST	England	premier_league	Premier League
1067265	Giorgi Abuashvili	Metz	LW	Georgia	ligue_1	Ligue 1
1783963	Umar Abubakar	Famalicao	ST	Nigeria	liga_portugal	Liga Portugal
1438316	Mathieu Acapandié	Nantes	RWB	Madagascar	ligue_1	Ligue 1
1302731	Christian Acella	Cremonese	CDM	Italy	serie_a	Serie A
73024	Francesco Acerbi	Inter	CB	Italy	serie_a	Serie A
1020027	Nicolás Acevedo	Bahia	CM,CDM,RB	Uruguay	brasileirao	Serie A
772193	Ragnar Ache	1. FC Köln	ST	Germany	bundesliga	Bundesliga
1400216	Josh Acheampong	Chelsea	CB,RB	England	premier_league	Premier League
521338	Lucho Acosta	Fluminense	CAM,ST,LW	Argentina	brasileirao	Serie A
1884495	Wisdom Acquah	Torino	Midfielder	Ghana	serie_a	Serie A
958640	Akor Adams	Sevilla	ST	Nigeria	la_liga	LaLiga
599353	Ché Adams	Torino	ST,CAM	Scotland	serie_a	Serie A
729769	Tyler Adams	AFC Bournemouth	CDM	USA	premier_league	Premier League
683402	Tosin Adarabioyo	Chelsea	CB	England	premier_league	Premier League
1347241	Jayden Addai	Como	RW	Netherlands	serie_a	Serie A
1646628	Wesley Adeh	Werder Bremen	CB	Germany	bundesliga	Bundesliga
937552	Ademir	Bahia	RW	Brazil	brasileirao	Serie A
959594	Karim Adeyemi	Borussia Dortmund	CAM,ST,RW	Germany	bundesliga	Bundesliga
1227012	Simon Adingra	Monaco	LW,LM	Ivory Coast	ligue_1	Ligue 1
1351065	Nathaniel Adjei	Lorient	CB	Ghana	ligue_1	Ligue 1
1432344	Jonas Adjetey	Wolfsburg	CB	Ghana	bundesliga	Bundesliga
1079557	Amine Adli	AFC Bournemouth	LW,RW,CAM	Morocco	premier_league	Premier League
936164	Michel Ndary Adopo	Cagliari	CM,CDM	France	serie_a	Serie A
1958489	Adrielson	Gremio	Midfielder	Brazil	brasileirao	Serie A
169756	Adrián	Real Betis	GK	Spain	la_liga	LaLiga
1255479	Adson	Vasco da Gama	RW	Brazil	brasileirao	Serie A
